Pos,Logo,Team,Played,Won,Drawn,Lost,GF,GA,GD,Points
1,https://upload.wikimedia.org/wikipedia/en/thumb/f/f4/Atletico_Madrid_2017_logo.svg/1200px-Atletico_Madrid_2017_logo.svg.png,Atlético Madrid,38,28,6,4,77,26,+51,90
2,https://upload.wikimedia.org/wikipedia/en/thumb/4/47/FC_Barcelona_%28crest%29.svg/1200px-FC_Barcelona_%28crest%29.svg.png,Barcelona,38,27,6,5,100,33,+67,87
3,https://upload.wikimedia.org/wikipedia/en/thumb/5/56/Real_Madrid_CF.svg/1200px-Real_Madrid_CF.svg.png,Real Madrid,38,27,6,5,104,38,+66,87
4,https://upload.wikimedia.org/wikipedia/en/thumb/9/98/Club_Athletic_Bilbao_logo.svg/1200px-Club_Athletic_Bilbao_logo.svg.png,Athletic ,38,20,10,8,66,39,+27,70
5,https://upload.wikimedia.org/wikipedia/en/thumb/3/3b/Sevilla_FC_logo.svg/1200px-Sevilla_FC_logo.svg.png,Sevilla,38,18,9,11,69,52,+17,63
6,https://upload.wikimedia.org/wikipedia/en/thumb/b/b9/Villarreal_CF_logo-en.svg/1200px-Villarreal_CF_logo-en.svg.png,Villarreal,38,17,8,13,60,44,+16,59
7,https://upload.wikimedia.org/wikipedia/en/thumb/f/f1/Real_Sociedad_logo.svg/1200px-Real_Sociedad_logo.svg.png,Real Sociedad,38,16,11,11,62,55,+7,59
8,https://upload.wikimedia.org/wikipedia/en/thumb/c/ce/Valenciacf.svg/1200px-Valenciacf.svg.png,Valencia,38,13,10,15,51,53,-2,49
9,https://upload.wikimedia.org/wikipedia/en/thumb/1/12/RC_Celta_de_Vigo_logo.svg/1200px-RC_Celta_de_Vigo_logo.svg.png,Celta Vigo,38,14,7,17,49,54,-5,49
10,https://upload.wikimedia.org/wikipedia/en/thumb/7/7b/Levante_Uni%C3%B3n_Deportiva%2C_S.A.D._logo.svg/1200px-Levante_Uni%C3%B3n_Deportiva%2C_S.A.D._logo.svg.png,Levante,38,12,12,14,35,43,-8,48
11,https://upload.wikimedia.org/wikipedia/en/thumb/6/6d/M%C3%A1laga_CF.svg/1200px-M%C3%A1laga_CF.svg.png,Malaga,38,12,9,17,39,46,-7,45
12,https://upload.wikimedia.org/wikipedia/en/thumb/d/d8/Rayo_Vallecano_logo.svg/1200px-Rayo_Vallecano_logo.svg.png,Rayo Vallecano,38,13,4,21,46,80,-34,43
13,https://upload.wikimedia.org/wikipedia/en/thumb/4/46/Getafe_logo.svg/1200px-Getafe_logo.svg.png,Getafe,38,11,9,18,35,54,-19,42
14,https://upload.wikimedia.org/wikipedia/en/thumb/d/d6/Rcd_espanyol_logo.svg/1200px-Rcd_espanyol_logo.svg.png,Espanyol,38,11,9,18,41,51,-10,42
15,https://upload.wikimedia.org/wikipedia/en/thumb/d/d5/Logo_of_Granada_Club_de_F%C3%BAtbol.svg/1200px-Logo_of_Granada_Club_de_F%C3%BAtbol.svg.png,Granada,38,12,5,21,32,56,-24,41
16,https://upload.wikimedia.org/wikipedia/en/thumb/a/a7/Elche_CF_logo.svg/1200px-Elche_CF_logo.svg.png,Elche,38,9,13,16,30,50,-20,40
17,https://upload.wikimedia.org/wikipedia/en/thumb/4/4a/UD_Almeria_logo.svg/1200px-UD_Almeria_logo.svg.png,Almeria,38,11,7,20,43,71,-28,40
18,https://upload.wikimedia.org/wikipedia/en/thumb/d/db/Osasuna_logo.svg/1200px-Osasuna_logo.svg.png,Osasuna,38,10,9,19,32,62,-30,39
19,https://upload.wikimedia.org/wikipedia/en/c/c5/Shield_of_Real_Valladolid.png,Valladolid,38,7,15,16,38,60,-22,36
20,https://upload.wikimedia.org/wikipedia/en/thumb/1/13/Real_betis_logo.svg/1200px-Real_betis_logo.svg.png,Real Betis,38,6,7,25,36,78,-42,25
