Pos,Logo,Team,Played,Won,Drawn,Lost,GF,GA,GD,Points
1,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bc/Juventus_FC_2017_icon_%28black%29.svg/1200px-Juventus_FC_2017_icon_%28black%29.svg.png,Juventus,38,29,4,5,75,20,+55,91
2,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2d/SSC_Neapel.svg/1200px-SSC_Neapel.svg.png,Napoli,38,25,7,6,80,32,+48,82
3,https://upload.wikimedia.org/wikipedia/en/thumb/f/f7/AS_Roma_logo_%282017%29.svg/1200px-AS_Roma_logo_%282017%29.svg.png,Roma,38,23,11,4,83,41,+42,80
4,https://upload.wikimedia.org/wikipedia/commons/thumb/0/05/FC_Internazionale_Milano_2021.svg/1200px-FC_Internazionale_Milano_2021.svg.png,Inter,38,20,7,11,50,38,+12,67
5,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f2/2022_ACF_Fiorentina_logo.svg/1200px-2022_ACF_Fiorentina_logo.svg.png,Fiorentina,38,18,10,10,60,42,+18,64
6,https://upload.wikimedia.org/wikipedia/en/thumb/1/1c/US_Sassuolo_Calcio_logo.svg/1200px-US_Sassuolo_Calcio_logo.svg.png,Sassuolo,38,16,13,9,49,40,+9,61
7,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d0/Logo_of_AC_Milan.svg/1200px-Logo_of_AC_Milan.svg.png,Milan,38,15,12,11,49,43,+6,57
8,https://upload.wikimedia.org/wikipedia/en/thumb/c/ce/S.S._Lazio_badge.svg/1200px-S.S._Lazio_badge.svg.png,Lazio,38,15,9,14,52,52,0,54
9,https://upload.wikimedia.org/wikipedia/en/thumb/f/f0/A.C._ChievoVerona_logo.svg/1200px-A.C._ChievoVerona_logo.svg.png,Chievo,38,13,11,14,43,45,-2,50
10,https://upload.wikimedia.org/wikipedia/en/e/e9/Empoli_F.C._logo_%282021%29.png,Empoli,38,12,10,16,40,49,-9,46
11,https://upload.wikimedia.org/wikipedia/en/2/25/Genoa_C.F.C._logo.png,Genoa,38,13,7,18,45,48,-3,46
12,https://upload.wikimedia.org/wikipedia/en/thumb/2/2e/Torino_FC_Logo.svg/1200px-Torino_FC_Logo.svg.png,Torino,38,12,9,17,52,55,-3,45
13,https://upload.wikimedia.org/wikipedia/en/thumb/6/66/AtalantaBC.svg/1200px-AtalantaBC.svg.png,Atalanta,38,11,12,15,41,47,-6,45
14,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5b/Bologna_F.C._1909_logo.svg/1200px-Bologna_F.C._1909_logo.svg.png,Bologna,38,11,9,18,33,45,-12,42
15,https://upload.wikimedia.org/wikipedia/en/thumb/d/d2/U.C._Sampdoria_logo.svg/1200px-U.C._Sampdoria_logo.svg.png,Sampdoria,38,10,10,18,48,61,-13,40
16,https://upload.wikimedia.org/wikipedia/en/thumb/d/df/Palermo_Calcio_logo_%282019%29.svg/1200px-Palermo_Calcio_logo_%282019%29.svg.png,Palermo,38,10,9,19,38,65,-27,39
17,https://upload.wikimedia.org/wikipedia/en/thumb/c/ce/Udinese_Calcio_logo.svg/1200px-Udinese_Calcio_logo.svg.png,Udinese,38,10,9,19,35,60,-25,39
18,https://static.wikia.nocookie.net/fifa/images/e/e8/Carpi.png/revision/latest?cb=20180415201236,Carpi,38,9,11,18,37,57,-20,38
19,https://upload.wikimedia.org/wikipedia/en/thumb/0/0b/Frosinone_Calcio_logo.svg/1200px-Frosinone_Calcio_logo.svg.png,Frosinone,38,8,7,23,35,76,-41,31
20,https://upload.wikimedia.org/wikipedia/en/thumb/9/92/Hellas_Verona_FC_logo_%282020%29.svg/1200px-Hellas_Verona_FC_logo_%282020%29.svg.png,Verona,38,5,13,20,34,63,-29,28
